               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054297,            0.024238,                   0,                   0,                   0,                   0,                   0,            0.049853,            0.016453,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.04902,            0.020276,                   0,                   0,                   0,                   0,                   0,            0.048714,            0.012474,                   0,            0.084693,           0.0016933,           0.0016933
                   2,            0.047433,            0.016021,                   0,                   0,                   0,                   0,                   0,            0.046342,             0.01005,                   0,            0.076579,           0.0025794,           0.0025794
                   3,            0.046238,            0.012512,                   0,                   0,                   0,                   0,                   0,            0.045655,           0.0081434,                   0,            0.068458,           0.0034584,           0.0034584
                   4,            0.045229,            0.010009,                   0,                   0,                   0,                   0,                   0,            0.044985,            0.006216,                   0,             0.06033,           0.0043303,           0.0043303
                   5,            0.046374,           0.0081052,                   0,                   0,                   0,                   0,                   0,            0.042463,           0.0045724,                   0,            0.052195,           0.0051951,           0.0051951
                   6,             0.04284,           0.0069767,                   0,                   0,                   0,                   0,                   0,            0.041022,           0.0040913,                   0,            0.044053,           0.0060527,           0.0060527
                   7,            0.041856,            0.006048,                   0,                   0,                   0,                   0,                   0,            0.046804,           0.0025841,                   0,            0.035903,           0.0069032,           0.0069032
                   8,            0.044544,           0.0046173,                   0,                   0,                   0,                   0,                   0,            0.041955,           0.0033081,                   0,            0.027747,           0.0077466,           0.0077466
                   9,            0.041011,           0.0044659,                   0,                   0,                   0,                   0,                   0,             0.04015,           0.0029898,                   0,            0.019583,           0.0085828,           0.0085828
                  10,            0.045225,           0.0034431,                   0,                   0,                   0,                   0,                   0,            0.043557,           0.0020859,                   0,            0.011412,           0.0094119,           0.0094119
                  11,            0.046444,           0.0027712,                   0,                   0,                   0,                   0,                   0,            0.051955,          0.00070196,                   0,           0.0095644,           0.0095644,           0.0095644
                  12,            0.046759,           0.0024089,                   0,                   0,                   0,                   0,                   0,            0.045846,           0.0012092,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.043507,           0.0025815,                   0,                   0,                   0,                   0,                   0,            0.039991,           0.0023902,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.041534,           0.0027641,                   0,                   0,                   0,                   0,                   0,            0.037924,           0.0029058,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.040619,           0.0028969,                   0,                   0,                   0,                   0,                   0,             0.03704,           0.0031452,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.043327,           0.0034223,                   0,                   0,                   0,                   0,                   0,            0.035213,           0.0034534,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.037632,           0.0033461,                   0,                   0,                   0,                   0,                   0,            0.037983,           0.0030428,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.040973,           0.0026408,                   0,                   0,                   0,                   0,                   0,            0.040484,           0.0023989,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.039976,           0.0026602,                   0,                   0,                   0,                   0,                   0,            0.035513,           0.0031789,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.036575,           0.0028841,                   0,                   0,                   0,                   0,                   0,            0.033997,           0.0035255,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.034337,           0.0036714,                   0,                   0,                   0,                   0,                   0,            0.032803,            0.003882,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.031206,           0.0043494,                   0,                   0,                   0,                   0,                   0,            0.026356,           0.0051957,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.030466,           0.0042115,                   0,                   0,                   0,                   0,                   0,            0.040279,           0.0024967,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.036117,           0.0030047,                   0,                   0,                   0,                   0,                   0,             0.02954,           0.0045052,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.036424,            0.002954,                   0,                   0,                   0,                   0,                   0,            0.027977,           0.0046927,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.029503,            0.003823,                   0,            0.033333,                 0.2,            0.020224,           0.0020224,            0.032063,           0.0037848,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.029082,           0.0038887,                   0,                   0,                   0,                   0,                   0,            0.027032,           0.0048943,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.032248,           0.0034912,                   0,            0.038462,                 0.2,            0.026118,            0.012697,            0.031118,           0.0039524,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.031437,            0.004147,                   0,                0.14,                 0.7,             0.14644,            0.051331,            0.023021,           0.0055923,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,             0.02669,           0.0041731,                   0,             0.16667,                 0.7,             0.15732,             0.05267,            0.022118,           0.0057564,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.026637,            0.004718,                   0,             0.15254,                 0.9,             0.26189,            0.044718,            0.024295,           0.0052376,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.026855,           0.0042202,                   0,             0.14516,                 0.9,             0.23738,            0.081043,            0.022263,           0.0056267,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.025477,           0.0045235,                   0,             0.17241,                   1,             0.62247,             0.14779,             0.01843,           0.0063896,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,            0.023918,           0.0042933,                   0,             0.11594,                 0.8,             0.39962,             0.13886,            0.023076,           0.0054131,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.025945,           0.0042976,                   0,            0.084337,                 0.7,             0.30105,            0.071226,            0.024207,           0.0051651,                   0,           0.0086536,           0.0086536,           0.0086536
