               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19217,            0.024845,                   0,                   0,                   0,                   0,                   0,             0.17711,            0.017984,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.17811,            0.021677,                   0,                   0,                   0,                   0,                   0,             0.15783,            0.014944,                   0,            0.084697,           0.0016966,           0.0016966
                   2,             0.15494,            0.018092,                   0,                   0,                   0,                   0,                   0,             0.14437,            0.012871,                   0,             0.07659,           0.0025897,           0.0025897
                   3,             0.14555,            0.015292,                   0,                   0,                   0,                   0,                   0,             0.14037,            0.011446,                   0,            0.068479,           0.0034792,           0.0034792
                   4,             0.14256,            0.012857,                   0,                   0,                   0,                   0,                   0,             0.13989,           0.0092983,                   0,            0.060365,           0.0043652,           0.0043652
                   5,             0.14155,            0.010906,                   0,                   0,                   0,                   0,                   0,             0.14714,           0.0065556,                   0,            0.052248,           0.0052475,           0.0052475
                   6,             0.14438,           0.0092163,                   0,                   0,                   0,                   0,                   0,             0.14178,           0.0071468,                   0,            0.044126,           0.0061263,           0.0061263
                   7,             0.14314,           0.0086505,                   0,          0.00033333,                 0.1,          0.00059768,          0.00011954,             0.13382,           0.0080318,                   0,            0.036002,           0.0070016,           0.0070016
                   8,             0.14274,           0.0079759,                   0,                   0,                   0,                   0,                   0,             0.15168,           0.0042014,                   0,            0.027873,           0.0078733,           0.0078733
                   9,              0.1406,           0.0079234,                   0,               0.001,                 0.3,           0.0011838,          0.00017138,             0.13991,           0.0063782,                   0,            0.019741,           0.0087414,           0.0087414
                  10,              0.1411,           0.0075215,                   0,          0.00033333,                 0.1,          0.00018706,          5.6118e-05,             0.13537,           0.0076227,                   0,            0.011606,            0.009606,            0.009606
                  11,              0.1378,           0.0076303,                   0,                   0,                   0,                   0,                   0,             0.14012,           0.0060105,                   0,           0.0097822,           0.0097822,           0.0097822
                  12,             0.13876,           0.0087566,                   0,          0.00066667,                 0.2,          0.00054116,          9.3497e-05,             0.13632,           0.0071554,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,             0.13183,           0.0094799,                   0,               0.001,                 0.3,           0.0028113,          0.00063439,             0.13032,            0.008853,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              0.1352,           0.0089996,                   0,               0.001,                 0.3,           0.0028826,          0.00049236,              0.1375,           0.0067949,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,             0.13481,           0.0089927,                   0,           0.0013486,                 0.4,           0.0047201,          0.00088445,             0.13562,           0.0068941,                   0,           0.0097228,           0.0097228,           0.0097228
