               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.21054,            0.024337,                   0,                   0,                   0,                   0,                   0,             0.19886,            0.017494,                   0,              0.0928,              0.0008,              0.0008
                   1,              0.1948,            0.020804,                   0,                   0,                   0,                   0,                   0,             0.17634,             0.01363,                   0,            0.084694,           0.0016944,           0.0016944
                   2,             0.16742,            0.017079,                   0,                   0,                   0,                   0,                   0,             0.15481,            0.011814,                   0,            0.076583,           0.0025828,           0.0025828
                   3,             0.15283,            0.014069,                   0,                   0,                   0,                   0,                   0,              0.1519,            0.010401,                   0,            0.068465,           0.0034654,           0.0034654
                   4,              0.1515,            0.011264,                   0,                   0,                   0,                   0,                   0,             0.15339,           0.0085506,                   0,            0.060342,           0.0043419,           0.0043419
                   5,             0.15143,           0.0093455,                   0,                   0,                   0,                   0,                   0,             0.15173,           0.0059156,                   0,            0.052213,           0.0052126,           0.0052126
                   6,             0.14996,           0.0079767,                   0,                   0,                   0,                   0,                   0,             0.15799,           0.0051284,                   0,            0.044077,           0.0060772,           0.0060772
                   7,             0.15104,           0.0069004,                   0,                   0,                   0,                   0,                   0,             0.14766,           0.0055389,                   0,            0.035936,            0.006936,            0.006936
                   8,              0.1459,           0.0074055,                   0,                   0,                   0,                   0,                   0,             0.14889,           0.0046139,                   0,            0.027789,           0.0077888,           0.0077888
                   9,              0.1483,           0.0057981,                   0,                   0,                   0,                   0,                   0,             0.16426,           0.0025076,                   0,            0.019636,           0.0086357,           0.0086357
                  10,              0.1548,           0.0046731,                   0,                   0,                   0,                   0,                   0,             0.14595,           0.0045309,                   0,            0.011477,           0.0094766,           0.0094766
                  11,             0.14905,           0.0046853,                   0,                   0,                   0,                   0,                   0,             0.14933,           0.0042367,                   0,            0.009637,            0.009637,            0.009637
                  12,              0.1492,           0.0048629,                   0,                   0,                   0,                   0,                   0,             0.15298,           0.0037596,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.15019,           0.0043272,                   0,          0.00033333,                 0.1,          0.00019625,          0.00017662,             0.14925,           0.0041087,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.14587,           0.0048057,                   0,                   0,                   0,                   0,                   0,             0.14253,           0.0053072,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.14236,           0.0050757,                   0,           0.0010327,                 0.3,          0.00090769,          0.00022295,             0.13702,           0.0067849,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.14208,           0.0055324,                   0,                   0,                   0,                   0,                   0,             0.14663,           0.0049591,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.14103,           0.0049433,                   0,          0.00082474,                 0.2,          0.00061419,          0.00019439,             0.13765,           0.0069594,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.13813,           0.0054549,                   0,                   0,                   0,                   0,                   0,             0.13729,           0.0067763,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.13664,           0.0061981,                   0,           0.0013605,                 0.4,          0.00098619,          0.00025397,             0.13062,           0.0095968,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.13522,            0.006894,                   0,          0.00070597,                 0.2,             0.00158,          0.00018049,             0.13341,           0.0083046,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.13622,           0.0070291,                   0,           0.0014959,                 0.4,            0.002987,          0.00051582,             0.12645,            0.010557,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.12902,           0.0074667,                   0,            0.001355,                 0.3,           0.0010998,          0.00028388,             0.12694,            0.010222,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.12697,           0.0075552,                   0,           0.0046851,                 0.9,           0.0090431,           0.0024066,             0.11926,            0.012832,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.13053,            0.007831,                   0,           0.0015486,                 0.4,           0.0036112,          0.00057769,             0.13402,           0.0086327,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.12888,           0.0078318,                   0,           0.0015169,                 0.4,           0.0029736,          0.00059471,             0.12822,           0.0099497,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.12756,           0.0087567,                   0,           0.0029619,                 0.8,            0.011707,           0.0022671,             0.12263,            0.011533,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.12366,            0.008269,                   0,           0.0029499,                 0.8,           0.0064888,           0.0014493,             0.12431,            0.011466,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.12915,           0.0084599,                   0,           0.0022363,                 0.6,           0.0069307,           0.0011359,             0.12549,            0.011202,                   0,            0.009109,            0.009109,            0.009109
