               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059593,            0.024141,                   0,                   0,                   0,                   0,                   0,            0.050438,            0.016985,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.049082,            0.020224,                   0,                   0,                   0,                   0,                   0,            0.048806,            0.011819,                   0,            0.084693,           0.0016933,           0.0016933
                   2,            0.047837,            0.015793,                   0,                   0,                   0,                   0,                   0,            0.048144,           0.0092459,                   0,            0.076579,           0.0025794,           0.0025794
                   3,            0.047614,             0.01213,                   0,                   0,                   0,                   0,                   0,            0.045698,           0.0081625,                   0,            0.068458,           0.0034584,           0.0034584
                   4,            0.046666,           0.0097247,                   0,                   0,                   0,                   0,                   0,             0.04386,           0.0064688,                   0,             0.06033,           0.0043303,           0.0043303
                   5,            0.045671,           0.0078866,                   0,                   0,                   0,                   0,                   0,            0.041595,           0.0050387,                   0,            0.052195,           0.0051951,           0.0051951
                   6,            0.044711,           0.0063939,                   0,                   0,                   0,                   0,                   0,            0.039321,             0.00459,                   0,            0.044053,           0.0060527,           0.0060527
                   7,            0.042714,           0.0056882,                   0,                   0,                   0,                   0,                   0,            0.045131,           0.0033511,                   0,            0.035903,           0.0069032,           0.0069032
                   8,             0.04502,            0.004598,                   0,                   0,                   0,                   0,                   0,             0.04369,           0.0027534,                   0,            0.027747,           0.0077466,           0.0077466
                   9,            0.044977,           0.0036567,                   0,                   0,                   0,                   0,                   0,               0.046,           0.0019849,                   0,            0.019583,           0.0085828,           0.0085828
                  10,            0.043591,           0.0032005,                   0,                   0,                   0,                   0,                   0,            0.037062,           0.0035963,                   0,            0.011412,           0.0094119,           0.0094119
                  11,            0.042301,           0.0034544,                   0,                   0,                   0,                   0,                   0,            0.046595,             0.00134,                   0,           0.0095644,           0.0095644,           0.0095644
                  12,            0.044556,           0.0025696,                   0,                   0,                   0,                   0,                   0,             0.04324,           0.0017571,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.042984,           0.0026607,                   0,                   0,                   0,                   0,                   0,            0.041951,           0.0022128,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.040093,           0.0030818,                   0,                   0,                   0,                   0,                   0,             0.03551,           0.0039168,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.038231,           0.0029077,                   0,                   0,                   0,                   0,                   0,            0.039449,           0.0028883,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.037779,           0.0032556,                   0,                   0,                   0,                   0,                   0,            0.028741,           0.0052847,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.038752,           0.0028659,                   0,                   0,                   0,                   0,                   0,             0.03391,           0.0039297,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,             0.03616,           0.0030291,                   0,                   0,                   0,                   0,                   0,            0.037002,           0.0032037,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.036408,            0.003489,                   0,                   0,                   0,                   0,                   0,            0.033396,           0.0041388,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.037829,           0.0031692,                   0,                   0,                   0,                   0,                   0,            0.034965,           0.0035315,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.038732,           0.0026049,                   0,                   0,                   0,                   0,                   0,            0.032273,           0.0042364,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.032939,           0.0037823,                   0,                   0,                   0,                   0,                   0,            0.028548,           0.0052348,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.034166,           0.0031224,                   0,                   0,                   0,                   0,                   0,            0.038799,           0.0026633,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.037447,            0.002435,                   0,                   0,                   0,                   0,                   0,            0.036204,           0.0032654,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.034044,           0.0034757,                   0,                   0,                   0,                   0,                   0,            0.025419,           0.0055809,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.032266,           0.0033388,                   0,                   0,                   0,                   0,                   0,            0.029037,           0.0048227,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.032243,            0.003699,                   0,                   0,                   0,                   0,                   0,            0.029322,           0.0047226,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.031574,           0.0036834,                   0,                   0,                   0,                   0,                   0,            0.029836,           0.0046159,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.030605,           0.0040282,                   0,            0.010101,                 0.1,           0.0059728,          0.00059728,            0.031493,           0.0042544,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.032103,           0.0033821,                   0,                   0,                   0,                   0,                   0,            0.029693,            0.004552,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.031619,           0.0038669,                   0,            0.013333,                 0.1,           0.0073333,           0.0014667,            0.028274,           0.0046959,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.031434,           0.0038006,                   0,            0.022727,                 0.2,            0.035552,           0.0035552,            0.027067,           0.0049362,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.028186,             0.00383,                   0,            0.019048,                 0.2,            0.015023,           0.0054046,            0.026092,           0.0051765,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,            0.028508,           0.0037125,                   0,            0.032967,                 0.3,            0.049203,            0.014929,            0.024349,           0.0055122,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.032687,           0.0040979,                   0,            0.021505,                 0.4,            0.016312,           0.0042664,             0.02398,           0.0055334,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.024874,           0.0044168,                   0,            0.053191,                 0.5,            0.053943,            0.016857,            0.023316,            0.005688,                   0,            0.008614,            0.008614,            0.008614
                  37,            0.032266,            0.003878,                   0,            0.028571,                 0.4,            0.026368,            0.011396,             0.02629,           0.0049744,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.029296,           0.0035746,                   0,            0.010417,                 0.3,            0.019219,           0.0071767,             0.02584,           0.0051537,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.030017,           0.0030853,                   0,            0.026316,                 0.2,            0.020677,           0.0062031,            0.027601,           0.0047455,                   0,           0.0084952,           0.0084952,           0.0084952
