               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054403,            0.024238,                   0,                   0,                   0,                   0,                   0,            0.048794,            0.016733,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.04891,            0.020266,                   0,                   0,                   0,                   0,                   0,            0.047914,            0.012751,                   0,            0.084693,           0.0016933,           0.0016933
                   2,            0.053033,             0.01597,                   0,                   0,                   0,                   0,                   0,            0.046436,            0.010238,                   0,            0.076579,           0.0025794,           0.0025794
                   3,            0.046164,            0.012621,                   0,                   0,                   0,                   0,                   0,            0.043855,           0.0089359,                   0,            0.068458,           0.0034584,           0.0034584
                   4,            0.050996,            0.010094,                   0,                   0,                   0,                   0,                   0,            0.043851,           0.0072832,                   0,             0.06033,           0.0043303,           0.0043303
                   5,            0.049997,           0.0083867,                   0,                   0,                   0,                   0,                   0,            0.040003,           0.0057082,                   0,            0.052195,           0.0051951,           0.0051951
                   6,            0.044547,           0.0067842,                   0,                   0,                   0,                   0,                   0,            0.042714,           0.0039778,                   0,            0.044053,           0.0060527,           0.0060527
                   7,            0.043883,           0.0056487,                   0,                   0,                   0,                   0,                   0,            0.043314,           0.0035694,                   0,            0.035903,           0.0069032,           0.0069032
                   8,            0.043012,             0.00514,                   0,                   0,                   0,                   0,                   0,            0.038446,            0.004463,                   0,            0.027747,           0.0077466,           0.0077466
                   9,            0.045479,           0.0047676,                   0,                   0,                   0,                   0,                   0,            0.041942,           0.0031626,                   0,            0.019583,           0.0085828,           0.0085828
                  10,            0.044138,           0.0034884,                   0,                   0,                   0,                   0,                   0,            0.042182,           0.0024412,                   0,            0.011412,           0.0094119,           0.0094119
                  11,            0.049595,           0.0028579,                   0,                   0,                   0,                   0,                   0,            0.041764,           0.0024194,                   0,           0.0095644,           0.0095644,           0.0095644
                  12,            0.049416,            0.003139,                   0,                   0,                   0,                   0,                   0,            0.046032,            0.001844,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.044959,           0.0027551,                   0,                   0,                   0,                   0,                   0,            0.046522,           0.0015852,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.046071,           0.0020831,                   0,                   0,                   0,                   0,                   0,             0.04262,            0.002045,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.048515,           0.0022628,                   0,                   0,                   0,                   0,                   0,             0.04094,           0.0025911,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.044885,           0.0031518,                   0,                   0,                   0,                   0,                   0,             0.03497,           0.0043101,                   0,            0.009406,            0.009406,            0.009406
                  17,             0.03785,           0.0032869,                   0,                   0,                   0,                   0,                   0,            0.036657,           0.0039284,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.041689,           0.0026175,                   0,                   0,                   0,                   0,                   0,            0.038906,           0.0033175,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.043496,           0.0023331,                   0,                   0,                   0,                   0,                   0,             0.04083,           0.0026806,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.040895,           0.0024254,                   0,                   0,                   0,                   0,                   0,             0.03661,           0.0036013,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.040339,           0.0025949,                   0,                   0,                   0,                   0,                   0,            0.032941,           0.0045333,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.036232,           0.0033518,                   0,                   0,                   0,                   0,                   0,             0.03301,           0.0048345,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.050361,           0.0029382,                   0,                   0,                   0,                   0,                   0,            0.049588,           0.0011507,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.047505,           0.0024239,                   0,                   0,                   0,                   0,                   0,            0.044277,           0.0019356,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.042505,           0.0035052,                   0,             0.14286,                 0.2,            0.093312,            0.027994,            0.028013,           0.0057911,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.038546,            0.003661,                   0,             0.13333,                 0.2,               0.084,            0.012164,            0.029394,           0.0054821,                   0,             0.00901,             0.00901,             0.00901
                  27,             0.03285,           0.0036648,                   0,            0.066667,                 0.1,            0.040889,           0.0040889,            0.030491,           0.0051308,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.035506,           0.0032137,                   0,                   0,                   0,                   0,                   0,            0.026838,           0.0062103,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.035278,           0.0038654,                   0,                   0,                   0,                   0,                   0,            0.039024,           0.0029223,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.035842,           0.0029744,                   0,                   0,                   0,                   0,                   0,            0.029425,           0.0052032,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.032587,           0.0039944,                   0,            0.055556,                 0.2,            0.033643,           0.0048996,            0.026036,            0.006073,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.029157,           0.0044918,                   0,             0.10638,                 0.5,             0.12267,            0.034504,            0.025841,           0.0061302,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.029759,           0.0042652,                   0,            0.097561,                 0.4,             0.12865,            0.029584,             0.03236,            0.004406,                   0,           0.0087328,           0.0087328,           0.0087328
