               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.2052,            0.024541,                   0,                   0,                   0,                   0,                   0,             0.19275,            0.016586,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.18839,            0.021179,                   0,                   0,                   0,                   0,                   0,             0.16879,             0.01334,                   0,            0.084693,           0.0016933,           0.0016933
                   2,             0.16368,            0.017528,                   0,                   0,                   0,                   0,                   0,             0.15351,            0.011153,                   0,            0.076579,           0.0025794,           0.0025794
                   3,             0.15449,            0.014088,                   0,                   0,                   0,                   0,                   0,             0.15508,           0.0095692,                   0,            0.068458,           0.0034584,           0.0034584
                   4,             0.15392,            0.011445,                   0,                   0,                   0,                   0,                   0,             0.15311,           0.0082359,                   0,             0.06033,           0.0043303,           0.0043303
                   5,             0.15258,            0.010065,                   0,                   0,                   0,                   0,                   0,             0.14781,           0.0072289,                   0,            0.052195,           0.0051951,           0.0051951
                   6,              0.1505,           0.0084055,                   0,                   0,                   0,                   0,                   0,             0.14975,           0.0049543,                   0,            0.044053,           0.0060527,           0.0060527
                   7,             0.15116,           0.0070647,                   0,                   0,                   0,                   0,                   0,             0.14615,           0.0053105,                   0,            0.035903,           0.0069032,           0.0069032
                   8,             0.14855,            0.007997,                   0,                   0,                   0,                   0,                   0,             0.14923,           0.0059047,                   0,            0.027747,           0.0077466,           0.0077466
                   9,             0.14499,           0.0078179,                   0,                   0,                   0,                   0,                   0,             0.14598,           0.0053153,                   0,            0.019583,           0.0085828,           0.0085828
                  10,             0.14605,           0.0065708,                   0,          0.00033333,                 0.1,           0.0006019,          0.00018057,             0.14479,           0.0043926,                   0,            0.011412,           0.0094119,           0.0094119
                  11,             0.14559,           0.0061707,                   0,                   0,                   0,                   0,                   0,             0.14436,           0.0049932,                   0,           0.0095644,           0.0095644,           0.0095644
                  12,             0.14641,           0.0063533,                   0,                   0,                   0,                   0,                   0,             0.14244,           0.0057006,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,             0.14566,           0.0059273,                   0,          0.00033333,                 0.1,          0.00019499,          3.8997e-05,             0.15088,           0.0049386,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,             0.14254,            0.007053,                   0,          0.00033591,                 0.1,          0.00024746,          4.9492e-05,             0.13312,           0.0079098,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,             0.13841,            0.008014,                   0,           0.0025458,                 0.5,            0.004708,          0.00099247,             0.13792,           0.0069013,                   0,           0.0094456,           0.0094456,           0.0094456
