               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086594,            0.029047,                   0,                   0,                   0,                   0,                   0,            0.091216,            0.020821,                   0,              0.0973,              0.0003,              0.0003
                   1,            0.076904,            0.027347,                   0,                   0,                   0,                   0,                   0,            0.090595,            0.019848,                   0,            0.093698,          0.00069769,          0.00069769
                   2,            0.072371,            0.026302,                   0,                   0,                   0,                   0,                   0,            0.084103,            0.020725,                   0,            0.090093,           0.0010927,           0.0010927
                   3,            0.080722,            0.025946,                   0,                   0,                   0,                   0,                   0,            0.078717,            0.021187,                   0,            0.086485,           0.0014851,           0.0014851
                   4,            0.099836,            0.025091,                   0,                   0,                   0,                   0,                   0,            0.076506,            0.020638,                   0,            0.082875,           0.0018749,           0.0018749
                   5,            0.083507,            0.024603,                   0,                   0,                   0,                   0,                   0,            0.074653,            0.020023,                   0,            0.079262,           0.0022621,           0.0022621
                   6,            0.077428,            0.023177,                   0,                   0,                   0,                   0,                   0,            0.069945,            0.019974,                   0,            0.075647,           0.0026465,           0.0026465
                   7,            0.076771,            0.022812,                   0,                   0,                   0,                   0,                   0,            0.067761,             0.01973,                   0,            0.072028,           0.0030284,           0.0030284
                   8,            0.065856,            0.020233,                   0,                   0,                   0,                   0,                   0,            0.062968,            0.020294,                   0,            0.068408,           0.0034076,           0.0034076
                   9,            0.075827,            0.021069,                   0,          0.00083333,                0.25,          0.00069769,          6.9769e-05,            0.056144,            0.019779,                   0,            0.064784,           0.0037842,           0.0037842
                  10,            0.081867,            0.020186,                   0,                   0,                   0,                   0,                   0,            0.058188,            0.019218,                   0,            0.061158,           0.0041581,           0.0041581
                  11,            0.066933,              0.0195,                   0,          0.00083333,                0.25,           0.0009735,          0.00029205,            0.051862,            0.019463,                   0,            0.057529,           0.0045294,           0.0045294
                  12,            0.073639,            0.019114,                   0,                   0,                   0,                   0,                   0,            0.066695,            0.015259,                   0,            0.053898,            0.004898,            0.004898
                  13,            0.083823,            0.019351,                   0,                   0,                   0,                   0,                   0,            0.059071,            0.017113,                   0,            0.050264,            0.005264,            0.005264
                  14,            0.073918,            0.016284,                   0,           0.0016667,                 0.5,           0.0013985,          0.00013985,            0.060175,            0.015038,                   0,            0.046627,           0.0056274,           0.0056274
                  15,            0.072525,             0.01627,                   0,                   0,                   0,                   0,                   0,            0.062166,             0.01568,                   0,            0.042988,           0.0059881,           0.0059881
                  16,            0.078276,            0.017078,                   0,                   0,                   0,                   0,                   0,            0.056329,            0.015461,                   0,            0.039346,           0.0063462,           0.0063462
                  17,            0.080265,            0.016255,                   0,          0.00083333,                0.25,          0.00068234,          0.00013647,             0.05476,            0.016012,                   0,            0.035702,           0.0067017,           0.0067017
                  18,             0.08418,            0.018762,                   0,          0.00083333,                0.25,          0.00068234,          0.00013647,             0.05476,            0.016012,                   0,            0.032054,           0.0070545,           0.0070545
                  19,            0.067687,            0.020824,                   0,           0.0016667,                 0.5,           0.0037551,          0.00045919,            0.049587,            0.016331,                   0,            0.028405,           0.0074047,           0.0074047
                  20,            0.069074,            0.016983,                   0,                   0,                   0,                   0,                   0,            0.066596,            0.013554,                   0,            0.024752,           0.0077522,           0.0077522
                  21,            0.086818,            0.016921,                   0,          0.00083333,                0.25,          0.00060626,          6.0626e-05,            0.053357,            0.015231,                   0,            0.021097,           0.0080971,           0.0080971
                  22,            0.077316,            0.013335,                   0,          0.00083333,                0.25,          0.00060626,          6.0626e-05,            0.053357,            0.015231,                   0,            0.017439,           0.0084393,           0.0084393
                  23,             0.07206,            0.012899,                   0,           0.0016667,                 0.5,           0.0013994,          0.00025608,            0.057678,            0.013827,                   0,            0.013779,            0.008779,            0.008779
                  24,             0.08024,            0.013088,                   0,                   0,                   0,                   0,                   0,            0.052851,            0.015048,                   0,            0.010116,           0.0091159,           0.0091159
                  25,            0.045047,            0.014592,                   0,                   0,                   0,                   0,                   0,            0.052851,            0.015048,                   0,            0.009175,            0.009175,            0.009175
