               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12945,             0.32359,             0.06269,          0.00069444,           0.0014368,          0.00035251,          3.5251e-05,             0.12747,             0.35774,            0.061414,                 0.1,                   0,                   0
                   1,             0.12875,             0.21172,            0.063285,          0.00071429,           0.0014368,          0.00036162,          3.6162e-05,             0.12751,             0.35698,             0.06145,              0.0991,           9.967e-05,           9.967e-05
                   2,             0.12738,             0.28629,            0.062469,          0.00071839,           0.0014368,          0.00036351,          3.6351e-05,             0.12751,             0.35672,            0.061377,            0.098199,          0.00019868,          0.00019868
                   3,              0.1301,             0.35671,            0.061954,                   0,                   0,                   0,                   0,             0.12748,             0.35654,            0.061316,            0.097297,          0.00029703,          0.00029703
                   4,             0.12444,             0.24566,            0.062127,          0.00089928,           0.0014368,          0.00045563,          0.00013669,             0.12738,             0.35727,            0.061292,            0.096395,          0.00039472,          0.00039472
                   5,             0.12486,             0.17458,            0.063568,           0.0007485,           0.0014368,          0.00038062,          7.6124e-05,             0.12731,             0.35788,            0.061292,            0.095492,          0.00049175,          0.00049175
                   6,             0.12754,              0.2708,             0.06126,                   0,                   0,                   0,                   0,             0.12726,             0.35753,            0.061243,            0.094588,          0.00058812,          0.00058812
                   7,             0.12466,             0.24722,            0.063202,                   0,                   0,                   0,                   0,             0.12715,             0.35812,            0.061255,            0.093684,          0.00068383,          0.00068383
                   8,             0.12077,             0.22179,            0.061646,                   0,                   0,                   0,                   0,               0.127,             0.35942,            0.061218,            0.092779,          0.00077888,          0.00077888
                   9,             0.12599,             0.23218,            0.064833,                   0,                   0,                   0,                   0,             0.12685,             0.36049,            0.061182,            0.091873,          0.00087327,          0.00087327
                  10,             0.12545,             0.32027,            0.062224,                   0,                   0,                   0,                   0,             0.12685,             0.36049,            0.061182,            0.090967,            0.000967,            0.000967
                  11,             0.12629,             0.24401,            0.062781,                   0,                   0,                   0,                   0,             0.12675,             0.36069,            0.061047,             0.09006,           0.0010601,           0.0010601
                  12,             0.12708,             0.33315,            0.061993,                   0,                   0,                   0,                   0,             0.12675,             0.36069,            0.061047,            0.089152,           0.0011525,           0.0011525
                  13,              0.1267,             0.29121,            0.062647,                   0,                   0,                   0,                   0,             0.12654,             0.36278,            0.061096,            0.088244,           0.0012442,           0.0012442
                  14,              0.1209,             0.25295,             0.06337,                   0,                   0,                   0,                   0,             0.12654,             0.36278,            0.061096,            0.087335,           0.0013353,           0.0013353
                  15,             0.12301,             0.20437,            0.064301,                   0,                   0,                   0,                   0,             0.12649,             0.36272,             0.06106,            0.086426,           0.0014257,           0.0014257
                  16,             0.12657,             0.26973,            0.063011,                   0,                   0,                   0,                   0,             0.12649,             0.36272,             0.06106,            0.085516,           0.0015155,           0.0015155
                  17,             0.12976,             0.34404,            0.060234,                   0,                   0,                   0,                   0,             0.12631,             0.36327,            0.061096,            0.084605,           0.0016046,           0.0016046
                  18,             0.12152,             0.20686,            0.062157,                   0,                   0,                   0,                   0,             0.12631,             0.36327,            0.061096,            0.083693,           0.0016931,           0.0016931
