               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066291,            0.024445,                   0,                   0,                   0,                   0,                   0,            0.050434,            0.017546,                   0,              0.0976,          0.00026667,          0.00026667
                   1,            0.060029,            0.021407,                   0,                   0,                   0,                   0,                   0,             0.04725,             0.01433,                   0,            0.094898,           0.0005648,           0.0005648
                   2,            0.058373,            0.018095,                   0,                   0,                   0,                   0,                   0,            0.045547,            0.012152,                   0,            0.092194,          0.00086095,          0.00086095
                   3,            0.068892,             0.01554,                   0,                   0,                   0,                   0,                   0,            0.044537,            0.010712,                   0,            0.089488,           0.0011551,           0.0011551
                   4,            0.063939,             0.01346,                   0,                   0,                   0,                   0,                   0,            0.046297,           0.0090322,                   0,            0.086781,           0.0014473,           0.0014473
                   5,            0.045392,            0.011964,                   0,                   0,                   0,                   0,                   0,            0.043966,           0.0083122,                   0,            0.084071,           0.0017375,           0.0017375
                   6,             0.04439,            0.010559,                   0,                   0,                   0,                   0,                   0,            0.041853,           0.0076637,                   0,            0.081359,           0.0020257,           0.0020257
                   7,            0.053216,           0.0096049,                   0,                   0,                   0,                   0,                   0,            0.039302,           0.0070572,                   0,            0.078645,            0.002312,            0.002312
                   8,            0.046441,           0.0091177,                   0,                   0,                   0,                   0,                   0,            0.035656,           0.0071735,                   0,             0.07593,           0.0025963,           0.0025963
                   9,            0.048069,           0.0086644,                   0,                   0,                   0,                   0,                   0,            0.036861,           0.0060453,                   0,            0.073212,           0.0028786,           0.0028786
                  10,            0.051147,           0.0077384,                   0,                   0,                   0,                   0,                   0,            0.031861,           0.0074887,                   0,            0.070492,           0.0031589,           0.0031589
                  11,            0.052544,           0.0080309,                   0,                   0,                   0,                   0,                   0,            0.033566,           0.0068069,                   0,            0.067771,           0.0034372,           0.0034372
                  12,            0.052002,           0.0077297,                   0,                   0,                   0,                   0,                   0,            0.027885,           0.0080918,                   0,            0.065047,           0.0037135,           0.0037135
                  13,            0.044772,           0.0075792,                   0,                   0,                   0,                   0,                   0,            0.031495,           0.0068498,                   0,            0.062321,           0.0039879,           0.0039879
                  14,            0.037511,           0.0075902,                   0,                   0,                   0,                   0,                   0,            0.028889,           0.0073761,                   0,            0.059594,           0.0042603,           0.0042603
                  15,            0.044015,           0.0071271,                   0,                   0,                   0,                   0,                   0,            0.030423,           0.0064705,                   0,            0.056864,           0.0045307,           0.0045307
                  16,            0.044492,           0.0077978,                   0,                   0,                   0,                   0,                   0,            0.026572,           0.0075065,                   0,            0.054132,           0.0047991,           0.0047991
                  17,            0.040333,           0.0074452,                   0,                   0,                   0,                   0,                   0,            0.027935,           0.0069069,                   0,            0.051399,           0.0050656,           0.0050656
                  18,            0.045043,           0.0060047,                   0,                   0,                   0,                   0,                   0,            0.029996,            0.006039,                   0,            0.048663,           0.0053301,           0.0053301
                  19,             0.04546,           0.0060664,                   0,                   0,                   0,                   0,                   0,            0.028802,           0.0064151,                   0,            0.045926,           0.0055926,           0.0055926
                  20,            0.030739,           0.0062062,                   0,               0.001,                 0.3,          0.00066883,          0.00018561,            0.025896,           0.0070307,                   0,            0.043186,           0.0058531,           0.0058531
                  21,            0.035185,           0.0068721,                   0,               0.002,                 0.6,           0.0020689,          0.00037656,            0.024249,           0.0073444,                   0,            0.040445,           0.0061116,           0.0061116
                  22,            0.040628,           0.0062929,                   0,          0.00066667,                 0.2,          0.00042181,          0.00014604,            0.026435,           0.0068298,                   0,            0.037701,           0.0063681,           0.0063681
                  23,             0.03471,           0.0060442,                   0,          0.00033333,                 0.1,          0.00018525,          5.5574e-05,            0.031933,           0.0051319,                   0,            0.034956,           0.0066227,           0.0066227
                  24,            0.047657,            0.005671,                   0,               0.003,                 0.9,           0.0032055,          0.00082111,            0.020904,            0.008116,                   0,            0.032209,           0.0068753,           0.0068753
                  25,            0.035102,           0.0073166,                   0,          0.00066667,                 0.2,          0.00052592,           7.363e-05,            0.029461,           0.0058461,                   0,            0.029459,           0.0071259,           0.0071259
                  26,            0.044527,           0.0049653,                   0,          0.00034352,                 0.1,          0.00019137,          5.7412e-05,            0.025787,            0.007008,                   0,            0.026708,           0.0073745,           0.0073745
                  27,            0.043573,           0.0050739,                   0,           0.0021322,                 0.6,           0.0023013,          0.00071652,            0.023693,           0.0072796,                   0,            0.023955,           0.0076212,           0.0076212
                  28,             0.03456,           0.0053411,                   0,           0.0026395,                 0.7,           0.0037274,          0.00090444,            0.022611,           0.0074385,                   0,            0.021199,           0.0078659,           0.0078659
