               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19404,            0.024567,                   0,          0.00033333,                 0.1,          0.00025021,          5.0043e-05,             0.18116,            0.017948,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.18081,            0.021113,                   0,                   0,                   0,                   0,                   0,             0.16286,             0.01387,                   0,            0.084694,           0.0016944,           0.0016944
                   2,             0.15986,            0.017186,                   0,                   0,                   0,                   0,                   0,             0.15229,            0.011749,                   0,            0.076583,           0.0025828,           0.0025828
                   3,             0.15188,            0.014314,                   0,                   0,                   0,                   0,                   0,             0.14833,            0.010054,                   0,            0.068465,           0.0034654,           0.0034654
                   4,             0.14919,            0.011682,                   0,                   0,                   0,                   0,                   0,             0.14644,            0.008543,                   0,            0.060342,           0.0043419,           0.0043419
                   5,             0.14588,           0.0096828,                   0,                   0,                   0,                   0,                   0,             0.14298,            0.007472,                   0,            0.052213,           0.0052126,           0.0052126
                   6,             0.14584,           0.0088094,                   0,                   0,                   0,                   0,                   0,              0.1522,           0.0040464,                   0,            0.044077,           0.0060772,           0.0060772
                   7,             0.14547,           0.0072769,                   0,                   0,                   0,                   0,                   0,             0.14846,           0.0046463,                   0,            0.035936,            0.006936,            0.006936
                   8,              0.1454,           0.0067869,                   0,          0.00066667,                 0.2,          0.00040984,          4.0984e-05,             0.14296,           0.0052447,                   0,            0.027789,           0.0077888,           0.0077888
                   9,             0.14111,           0.0069833,                   0,          0.00033333,                 0.1,          0.00026162,          2.6162e-05,             0.14686,           0.0048084,                   0,            0.019636,           0.0086357,           0.0086357
                  10,              0.1392,           0.0069986,                   0,                   0,                   0,                   0,                   0,             0.13634,           0.0060463,                   0,            0.011477,           0.0094766,           0.0094766
                  11,             0.13903,           0.0064609,                   0,          0.00066667,                 0.2,          0.00078228,          0.00012517,             0.14123,           0.0059936,                   0,            0.009637,            0.009637,            0.009637
                  12,             0.13928,           0.0078889,                   0,               0.001,                 0.3,           0.0015211,          0.00029501,             0.14561,           0.0052841,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.13939,           0.0075246,                   0,           0.0013838,                 0.3,            0.022714,           0.0045985,             0.14158,           0.0056779,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.14128,           0.0068448,                   0,           0.0010106,                 0.2,            0.017967,           0.0025201,             0.13358,           0.0068188,                   0,            0.009571,            0.009571,            0.009571
