               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.20397,            0.024627,                   0,                   0,                   0,                   0,                   0,             0.18956,            0.016901,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.18519,            0.021103,                   0,                   0,                   0,                   0,                   0,             0.16563,            0.013719,                   0,            0.084693,           0.0016933,           0.0016933
                   2,             0.16075,            0.017395,                   0,                   0,                   0,                   0,                   0,             0.15221,            0.011094,                   0,            0.076579,           0.0025794,           0.0025794
                   3,             0.14954,            0.014449,                   0,                   0,                   0,                   0,                   0,             0.15342,           0.0095329,                   0,            0.068458,           0.0034584,           0.0034584
                   4,              0.1493,             0.01176,                   0,                   0,                   0,                   0,                   0,             0.15424,           0.0082989,                   0,             0.06033,           0.0043303,           0.0043303
                   5,             0.15266,           0.0096921,                   0,                   0,                   0,                   0,                   0,             0.15336,           0.0072432,                   0,            0.052195,           0.0051951,           0.0051951
                   6,             0.15071,           0.0086639,                   0,                   0,                   0,                   0,                   0,             0.14802,           0.0060806,                   0,            0.044053,           0.0060527,           0.0060527
                   7,             0.14949,           0.0070638,                   0,          0.00033333,                 0.1,           0.0001917,           1.917e-05,             0.14674,           0.0063143,                   0,            0.035903,           0.0069032,           0.0069032
                   8,              0.1498,           0.0072044,                   0,          0.00033333,                 0.1,          0.00019157,          3.8313e-05,             0.15336,           0.0042775,                   0,            0.027747,           0.0077466,           0.0077466
                   9,             0.14428,           0.0069666,                   0,          0.00033333,                 0.1,          0.00040704,          4.0704e-05,             0.14183,           0.0062428,                   0,            0.019583,           0.0085828,           0.0085828
                  10,             0.14267,           0.0069874,                   0,                   0,                   0,                   0,                   0,             0.14454,           0.0046225,                   0,            0.011412,           0.0094119,           0.0094119
