               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19135,            0.024831,                   0,                   0,                   0,                   0,                   0,             0.17919,            0.018499,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.17693,             0.02166,                   0,                   0,                   0,                   0,                   0,             0.15763,            0.015093,                   0,            0.084693,           0.0016933,           0.0016933
                   2,              0.1545,             0.01819,                   0,                   0,                   0,                   0,                   0,             0.14632,            0.013515,                   0,            0.076579,           0.0025794,           0.0025794
                   3,             0.14384,            0.015818,                   0,                   0,                   0,                   0,                   0,             0.13616,            0.013546,                   0,            0.068458,           0.0034584,           0.0034584
                   4,             0.13966,            0.013721,                   0,                   0,                   0,                   0,                   0,             0.13625,            0.012049,                   0,             0.06033,           0.0043303,           0.0043303
                   5,             0.14129,            0.011293,                   0,                   0,                   0,                   0,                   0,             0.14068,            0.009594,                   0,            0.052195,           0.0051951,           0.0051951
                   6,             0.14179,           0.0095198,                   0,          0.00033333,                 0.1,          0.00091167,          9.1167e-05,             0.13577,           0.0090065,                   0,            0.044053,           0.0060527,           0.0060527
                   7,              0.1422,           0.0082866,                   0,          0.00033333,                 0.1,           0.0046755,          0.00046755,             0.13472,           0.0086203,                   0,            0.035903,           0.0069032,           0.0069032
                   8,             0.13827,           0.0091735,                   0,          0.00033333,                 0.1,          0.00081139,          0.00010801,             0.13556,           0.0080547,                   0,            0.027747,           0.0077466,           0.0077466
                   9,             0.13373,           0.0093933,                   0,          0.00033333,                 0.1,          0.00021996,          2.1996e-05,             0.13352,           0.0087519,                   0,            0.019583,           0.0085828,           0.0085828
                  10,             0.13923,             0.00791,                   0,                   0,                   0,                   0,                   0,             0.13735,           0.0072155,                   0,            0.011412,           0.0094119,           0.0094119
                  11,             0.13525,           0.0084217,                   0,          0.00033333,                 0.1,          0.00022396,          2.2396e-05,             0.13178,            0.010027,                   0,           0.0095644,           0.0095644,           0.0095644
                  12,             0.13254,            0.011122,                   0,          0.00066667,                 0.2,          0.00040306,          7.7122e-05,             0.13141,           0.0095749,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,             0.12342,            0.011667,                   0,               0.001,                 0.3,           0.0034718,          0.00088835,             0.12811,            0.010146,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,              0.1377,           0.0090839,                   0,           0.0013333,                 0.4,           0.0025151,          0.00045321,              0.1378,           0.0073137,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,             0.13437,           0.0097998,                   0,           0.0016667,                 0.5,            0.013097,           0.0033019,              0.1324,           0.0093303,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,               0.129,            0.010373,                   0,           0.0013333,                 0.4,           0.0056815,           0.0013726,             0.12044,            0.012178,                   0,            0.009406,            0.009406,            0.009406
                  17,             0.12746,            0.010283,                   0,           0.0016667,                 0.5,            0.061921,            0.010951,             0.11654,            0.013435,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,             0.12184,            0.010381,                   0,               0.001,                 0.3,            0.023644,           0.0047289,             0.12326,            0.010696,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,             0.12307,            0.011663,                   0,               0.002,                 0.6,            0.024111,           0.0053632,              0.1288,            0.010383,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,              0.1222,            0.011923,                   0,           0.0026667,                 0.8,             0.02215,           0.0049189,             0.11665,            0.012772,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,             0.11606,            0.014893,                   0,           0.0026667,                 0.8,            0.072826,            0.034096,               0.113,            0.013937,                   0,            0.009208,            0.009208,            0.009208
