               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12084,            0.083409,            0.064716,          0.00075537,             0.03125,           0.0014383,          0.00016332,             0.12544,            0.051392,             0.06925,              0.0955,              0.0005,              0.0005
                   1,             0.11892,            0.081625,            0.064488,          0.00095777,            0.046875,           0.0012408,          0.00016218,             0.11891,            0.059746,            0.068335,            0.090098,           0.0010978,           0.0010978
                   2,             0.11493,            0.086321,            0.063916,            0.002306,             0.09375,             0.00241,          0.00062969,             0.11185,            0.066956,            0.067834,            0.084693,           0.0016933,           0.0016933
                   3,             0.10884,             0.10017,            0.063048,           0.0085511,              0.3125,            0.014452,           0.0023622,             0.10213,             0.07605,            0.066467,            0.079286,           0.0022863,           0.0022863
                   4,             0.10132,            0.094085,            0.062175,           0.0065154,             0.26562,            0.016575,           0.0027006,            0.094179,            0.087555,            0.062891,            0.073877,            0.002877,            0.002877
                   5,            0.095835,             0.10602,            0.061572,            0.034762,             0.14062,            0.043892,            0.014449,            0.088772,            0.087357,            0.062109,            0.068465,           0.0034654,           0.0034654
                   6,            0.093699,             0.10262,            0.061414,            0.026011,             0.10938,             0.02146,           0.0057032,            0.087455,            0.079437,            0.062109,            0.063051,           0.0040513,           0.0040513
                   7,             0.09473,            0.099208,             0.06115,           0.0096758,             0.32812,            0.011408,            0.003221,            0.095705,            0.077835,            0.063684,            0.057635,           0.0046349,           0.0046349
                   8,            0.098195,            0.082872,            0.060989,            0.037499,               0.125,            0.049347,            0.015545,            0.084699,            0.071304,            0.061218,            0.052216,            0.005216,            0.005216
                   9,             0.08575,            0.084042,            0.059584,            0.018609,             0.20302,            0.027799,           0.0068649,            0.093915,            0.065216,            0.060437,            0.046795,           0.0057949,           0.0057949
                  10,            0.088107,             0.08566,            0.059073,            0.084987,             0.32812,             0.12584,            0.029573,            0.080289,            0.060608,            0.060608,            0.041371,           0.0063713,           0.0063713
                  11,             0.07909,            0.086641,            0.058746,            0.092129,             0.26562,            0.071756,            0.019572,            0.092429,             0.07399,            0.059521,            0.035945,           0.0069454,           0.0069454
                  12,            0.087798,            0.094259,            0.057685,            0.042438,             0.28125,            0.055464,             0.01502,            0.090651,            0.053528,            0.057849,            0.030517,            0.007517,            0.007517
                  13,            0.086192,            0.074256,             0.05726,            0.052562,             0.39062,            0.075275,              0.0218,             0.08554,            0.053574,            0.056836,            0.025086,           0.0080864,           0.0080864
                  14,            0.082747,            0.075765,            0.056934,             0.10093,             0.39062,             0.12586,            0.032022,            0.082213,            0.050873,            0.057349,            0.019653,           0.0086533,           0.0086533
                  15,            0.081452,            0.069596,            0.056715,             0.16564,              0.3125,            0.065899,            0.017673,            0.088729,            0.053123,            0.056873,            0.014218,           0.0092178,           0.0092178
                  16,            0.084318,            0.069807,            0.056627,             0.17777,              0.0625,            0.082721,            0.024897,            0.079988,            0.053802,            0.056055,           0.0096832,           0.0096832,           0.0096832
                  17,            0.084211,            0.068996,            0.056102,            0.069935,              0.3125,            0.077073,            0.019454,              0.0861,            0.052155,             0.05625,           0.0096832,           0.0096832,           0.0096832
                  18,             0.08167,            0.066764,             0.05592,             0.38224,             0.11206,             0.11683,            0.040669,            0.081569,            0.046829,            0.055603,           0.0096634,           0.0096634,           0.0096634
                  19,            0.081944,            0.072835,            0.055835,            0.042156,             0.17188,            0.089201,            0.018091,            0.091864,            0.050865,            0.055469,           0.0096436,           0.0096436,           0.0096436
                  20,            0.091207,            0.066275,            0.056081,             0.14678,             0.17188,             0.12595,            0.040297,            0.085736,            0.046829,            0.055176,           0.0096238,           0.0096238,           0.0096238
