               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12454,            0.056799,            0.070277,          0.00019562,            0.010417,          0.00011705,           4.682e-05,             0.11477,            0.044174,            0.071118,              0.0874,              0.0014,              0.0014
                   1,             0.10783,            0.067021,            0.068458,           0.0046676,             0.21023,            0.016318,              0.0042,            0.093496,            0.052742,            0.069836,            0.073896,           0.0028964,           0.0028964
                   2,            0.093597,            0.083663,            0.066942,            0.011267,              0.6108,            0.037401,           0.0085603,            0.082571,            0.044838,            0.067804,            0.060389,           0.0043891,           0.0043891
                   3,            0.085061,             0.07396,            0.066518,            0.015848,             0.29261,            0.022732,           0.0065993,            0.091649,            0.041389,            0.068958,            0.046878,           0.0058781,           0.0058781
                   4,             0.08078,            0.062476,            0.065628,            0.022163,              0.3342,             0.03191,            0.009504,            0.085044,              0.0401,            0.067511,            0.033363,           0.0073634,           0.0073634
                   5,            0.084592,            0.052072,            0.063848,            0.024878,             0.12973,            0.033785,           0.0083023,            0.091821,            0.029549,            0.064691,            0.019845,           0.0088449,           0.0088449
                   6,            0.081599,            0.053293,            0.063802,             0.56703,             0.15863,             0.20677,            0.073567,            0.078709,            0.029213,            0.063245,           0.0099258,           0.0099258,           0.0099258
                   7,            0.081525,            0.051485,            0.062948,             0.67392,             0.12088,             0.15671,            0.066387,            0.084413,            0.027409,            0.062329,           0.0099258,           0.0099258,           0.0099258
                   8,            0.075374,            0.048344,             0.06188,             0.41106,             0.16193,              0.1193,            0.044787,            0.076911,            0.029373,            0.061707,           0.0099134,           0.0099134,           0.0099134
                   9,            0.071077,            0.053761,            0.061575,             0.72413,             0.09375,             0.13442,            0.047506,             0.08188,            0.033596,            0.060718,            0.009901,            0.009901,            0.009901
                  10,            0.073628,            0.050045,             0.06011,             0.72781,             0.23653,             0.25334,             0.09891,            0.078792,            0.032974,            0.059912,           0.0098886,           0.0098886,           0.0098886
                  11,            0.066012,            0.054502,            0.061139,             0.47668,             0.26801,             0.29085,             0.11965,            0.059422,            0.033081,             0.05874,           0.0098763,           0.0098763,           0.0098763
